title,speaker,date,sermonUrl
Have A Passion For Purity,Barry Gin,2014-02-23,//35.190.93.184/sermons/20140223_sunday_pastor_barry_gin_have_a_passion_for_purity.mp3
Until Death Do Us Part…,Barry Gin,2014-02-16,//35.190.93.184/sermons/20140216_sunday_pastor_barry_gin_until_death_do_us_part...mp3
"Leaving, Leading, and Loving",Barry Gin,2014-02-09,//35.190.93.184/sermons/20140209_sunday_pastor_barry_gin_leaving_leading_and_loving.mp3
Great Expectasians,Tony Chon,2014-02-02,//35.190.93.184/sermons/20140202_sunday_pastor_tony_chon_great_expectasians.mp3
God’s Uncomfortable Call: Living At Our Best In Tough Times,Robert Martin,2014-01-26,//35.190.93.184/sermons/20140126_sunday_dr_robert_martin_gods_uncomfortable_call_living_at_our_best_in_tough_times.mp3
Grow Genuine Love,Barry Gin,2014-01-19,//35.190.93.184/sermons/20140119_sunday_pastor_barry_gin_grow_genuine_love.mp3
Gospel-Driven Relationships,Barry Gin,2014-01-12,//35.190.93.184/sermons/20140112_sunday_pastor_barry_gin_gospel-driven_relationships.mp3
Roadside Assistance,Barry Gin,2014-01-05,//35.190.93.184/sermons/20140105_sunday_pastor_barry_roadside_assistance.mp3
Don’t Be A Scrooge,Barry Gin,2013-12-22,//35.190.93.184/sermons/20131222_sunday_barry_gin_dont_be_a_scrooge.mp3
The Scandal Of Grace,Tony Chon,2013-12-15,//35.190.93.184/sermons/20131215_sunday_pastor_tony_chon_the_scandal_of_grace.mp3
"If You Ask Him To Lead, Then Make Sure You Follow",Barry Gin,2013-12-08,//35.190.93.184/sermons/20131208_sunday_pastor_barry_if_you_ask_him_to_lead_then_make_sure_you_follow.mp3
Christmas Through Jewish Eyes,Roy Schwarzc,2013-12-01,//35.190.93.184/sermons/20131201_rev_roy_schwarzc_christmas_through_jewish_eyes.mp3
"Be Forgiven, And Forgiving",Barry Gin,2013-11-24,//35.190.93.184/sermons/20131124_sunday_pastor_barry_gin_be_forgiven_and_forgiving.mp3
"Are You Needy, Or Greedy?",Barry Gin,2013-11-17,//35.190.93.184/sermons/20131117_sunday_pastor_barry_gin_are_you_needy_or_greedy.mp3
Thy Or My Will Be Done?,Barry Gin,2013-11-10,//35.190.93.184/sermons/20131110_sunday_pastor_barry_gin_thy_or_my_will_be_done.mp3
Whose Kingdom Are You Living For?,Barry Gin,2013-10-27,//35.190.93.184/sermons/20131027_sunday_pastor_barry_gin_whose_kingdom_are_you_living_for_1.mp3
What’s In A Name?,Barry Gin,2013-10-20,//35.190.93.184/sermons/20131020_sunday_pastor_barry_whats_in_a_name.mp3
